fecha,fase,grupo,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado_real_3clases,ganador_real,total_goles,estado,fecha_consulta,fuente_principal,fuente_verificacion
2026-06-15,grupos,E,Ivory Coast,Ecuador,1,0,local_gana,Ivory Coast,1,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-15,grupos,F,Sweden,Tunisia,5,1,local_gana,Sweden,6,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-15,grupos,H,Spain,Cape Verde,0,0,empate,Empate,0,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-15,grupos,G,Egypt,Belgium,1,1,empate,Empate,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-15,grupos,H,Saudi Arabia,Uruguay,1,1,empate,Empate,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-16,grupos,G,Iran,New Zealand,2,2,empate,Empate,4,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-16,grupos,I,France,Senegal,3,1,local_gana,France,4,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-16,grupos,I,Iraq,Norway,1,4,visitante_gana,Norway,5,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-17,grupos,J,Argentina,Algeria,3,0,local_gana,Argentina,3,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-17,grupos,J,Austria,Jordan,3,1,local_gana,Austria,4,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-17,grupos,K,Portugal,DR Congo,1,1,empate,Empate,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-17,grupos,L,England,Croatia,4,2,local_gana,England,6,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-17,grupos,L,Ghana,Panama,1,0,local_gana,Ghana,1,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
